iter	Passed	Remaining
402	11417	16913
403	11446	16885
404	11475	16859
405	11504	16831
406	11532	16802
407	11560	16774
408	11589	16746
409	11616	16716
410	11643	16686
411	11673	16660
412	11702	16633
413	11732	16606
414	11761	16578
415	11789	16550
416	11818	16523
417	11847	16495
418	11875	16467
419	11904	16439
420	11933	16412
421	11962	16384
422	11990	16355
423	12019	16327
424	12046	16298
425	12074	16269
426	12102	16241
427	12131	16213
428	12159	16183
429	12186	16154
430	12214	16125
431	12241	16095
432	12269	16066
433	12297	16038
434	12327	16011
435	12355	15983
436	12385	15956
437	12414	15928
438	12443	15901
439	12472	15873
440	12501	15845
441	12531	15819
442	12540	15767
443	12567	15738
444	12596	15710
445	12626	15683
446	12654	15655
447	12682	15626
448	12709	15596
449	12737	15568
450	12766	15540
451	12795	15512
452	12822	15483
453	12831	15432
454	12859	15403
455	12889	15376
456	12917	15347
457	12945	15319
458	12973	15291
459	13001	15262
460	13030	15235
461	13058	15207
462	13087	15178
463	13114	15149
464	13143	15121
465	13171	15094
466	13200	15065
467	13229	15038
468	13238	14988
469	13268	14962
470	13296	14933
471	13324	14905
472	13352	14877
473	13380	14848
474	13407	14819
475	13437	14792
476	13466	14764
477	13496	14739
478	13526	14712
479	13554	14683
480	13563	14634
481	13591	14606
482	13620	14579
483	13648	14550
484	13657	14502
485	13685	14473
486	13694	14425
487	13723	14398
488	13751	14370
489	13780	14342
490	13808	14314
491	13837	14287
492	13864	14258
493	13894	14231
494	13922	14203
495	13950	14175
496	13978	14147
497	14007	14120
498	14035	14091
499	14063	14063
500	14091	14035
501	14119	14007
502	14147	13978
503	14175	13950
504	14202	13921
505	14230	13893
506	14258	13864
507	14286	13836
508	14314	13807
509	14341	13779
510	14369	13751
511	14398	13723
512	14426	13695
513	14455	13667
514	14483	13639
515	14511	13611
516	14539	13582
517	14567	13554
518	14595	13526
519	14623	13498
520	14651	13470
521	14679	13442
522	14708	13415
523	14737	13387
524	14767	13360
525	14794	13331
526	14822	13303
527	14852	13277
528	14879	13248
529	14907	13220
530	14936	13192
531	14964	13164
532	14992	13136
533	15021	13108
534	15049	13080
535	15078	13053
536	15106	13024
537	15135	12997
538	15163	12968
539	15191	12941
540	15219	12912
541	15248	12885
542	15276	12857
543	15304	12828
544	15331	12799
545	15359	12771
546	15386	12742
547	15414	12713
548	15441	12684
549	15469	12656
550	15497	12628
551	15525	12600
552	15553	12571
553	15580	12543
554	15608	12514
555	15635	12486
556	15663	12457
557	15690	12428
558	15717	12399
559	15744	12370
560	15771	12341
561	15799	12313
562	15827	12285
563	15854	12256
564	15881	12227
565	15909	12199
566	15936	12170
567	15965	12142
568	15993	12114
569	16021	12086
570	16048	12057
571	16076	12029
572	16103	12000
573	16131	11971
574	16158	11943
575	16187	11915
576	16213	11886
577	16240	11856
578	16267	11828
579	16294	11799
580	16321	11770
581	16348	11741
582	16375	11712
583	16403	11684
584	16430	11655
585	16458	11627
586	16484	11598
587	16511	11569
588	16538	11540
589	16565	11511
590	16591	11482
591	16619	11454
592	16646	11425
593	16673	11396
594	16701	11368
595	16729	11340
596	16757	11311
597	16784	11283
598	16811	11254
599	16839	11226
600	16866	11197
601	16895	11170
602	16923	11141
603	16952	11114
604	16979	11085
605	17006	11057
606	17033	11027
607	17060	10999
608	17087	10970
609	17114	10941
610	17143	10914
611	17171	10886
612	17200	10858
613	17228	10830
614	17257	10803
615	17286	10775
616	17314	10748
617	17344	10720
618	17374	10693
619	17403	10666
620	17430	10638
621	17459	10610
622	17487	10582
623	17517	10555
624	17546	10527
625	17574	10500
626	17602	10471
627	17629	10443
628	17659	10416
629	17687	10388
630	17715	10360
631	17744	10332
632	17772	10304
633	17800	10276
634	17830	10249
635	17859	10221
636	17887	10193
637	17915	10165
638	17944	10137
639	17973	10109
640	18001	10081
641	18030	10054
642	18058	10026
643	18086	9997
644	18113	9969
645	18141	9941
646	18169	9913
647	18197	9884
648	18225	9856
649	18252	9828
650	18282	9800
651	18309	9772
652	18337	9744
653	18365	9716
654	18394	9688
655	18423	9661
656	18451	9632
657	18479	9604
658	18507	9576
659	18535	9548
660	18563	9520
661	18592	9492
662	18620	9464
663	18648	9436
664	18677	9408
665	18705	9380
666	18733	9352
667	18761	9324
668	18791	9297
669	18820	9269
670	18847	9241
671	18874	9212
672	18902	9184
673	18929	9155
674	18958	9128
675	18986	9100
676	19013	9071
677	19041	9043
678	19069	9015
679	19097	8987
680	19125	8959
681	19154	8931
682	19183	8903
683	19211	8875
684	19221	8839
685	19249	8811
686	19277	8782
687	19304	8754
688	19333	8726
689	19361	8698
690	19390	8671
691	19418	8642
692	19427	8606
693	19456	8578
694	19484	8550
695	19513	8522
696	19541	8494
697	19569	8466
698	19596	8438
699	19623	8410
700	19650	8381
701	19677	8353
702	19705	8325
703	19733	8296
704	19761	8269
705	19790	8241
706	19818	8213
707	19846	8185
708	19874	8157
709	19902	8129
710	19930	8101
711	19959	8073
712	19987	8045
713	20017	8018
714	20047	7990
715	20074	7962
716	20103	7934
717	20131	7906
718	20158	7878
719	20186	7850
720	20214	7822
721	20241	7793
722	20269	7765
723	20295	7737
724	20324	7709
725	20352	7681
726	20380	7653
727	20408	7625
728	20437	7597
729	20465	7569
730	20493	7541
731	20521	7513
732	20548	7485
733	20576	7457
734	20604	7428
735	20633	7401
736	20662	7373
737	20690	7345
738	20718	7317
739	20746	7289
740	20773	7260
741	20802	7233
742	20830	7205
743	20859	7177
744	20888	7149
745	20915	7121
746	20944	7093
747	20972	7065
748	21001	7037
749	21029	7009
750	21057	6981
751	21085	6953
752	21112	6925
753	21139	6896
754	21167	6868
755	21195	6841
756	21224	6813
757	21252	6785
758	21279	6756
759	21306	6728
760	21334	6700
761	21362	6672
762	21391	6644
763	21419	6616
764	21447	6588
765	21475	6560
766	21504	6532
767	21531	6504
768	21559	6476
769	21588	6448
770	21616	6420
771	21644	6392
772	21672	6364
773	21701	6336
774	21729	6308
775	21757	6280
776	21785	6252
777	21813	6224
778	21841	6196
779	21869	6168
780	21897	6140
781	21925	6112
782	21953	6084
783	21982	6056
784	22010	6028
785	22038	6000
786	22067	5972
787	22096	5944
788	22124	5916
789	22153	5888
790	22182	5860
791	22211	5833
792	22240	5805
793	22269	5777
794	22298	5749
795	22325	5721
796	22354	5693
797	22383	5665
798	22411	5637
799	22438	5609
800	22466	5581
801	22497	5554
802	22525	5526
803	22554	5498
804	22582	5470
805	22610	5442
806	22638	5414
807	22665	5385
808	22694	5357
809	22722	5330
810	22751	5302
811	22780	5274
812	22808	5246
813	22836	5218
814	22864	5190
815	22891	5161
816	22921	5134
817	22949	5106
818	22977	5078
819	23006	5050
820	23033	5021
821	23063	4994
822	23092	4966
823	23121	4938
824	23150	4910
825	23179	4882
826	23209	4855
827	23237	4827
828	23266	4799
829	23294	4771
830	23323	4743
831	23352	4715
832	23381	4687
833	23409	4659
834	23437	4631
835	23466	4603
836	23494	4575
837	23522	4547
838	23549	4518
839	23575	4490
840	23602	4462
841	23630	4434
842	23659	4406
843	23687	4378
844	23714	4350
845	23742	4321
846	23771	4294
847	23800	4266
848	23829	4238
849	23857	4210
850	23885	4182
851	23913	4153
852	23941	4125
853	23968	4097
854	23996	4069
855	24023	4041
856	24052	4013
857	24079	3985
858	24107	3957
859	24134	3928
860	24162	3900
861	24189	3872
862	24218	3844
863	24247	3816
864	24273	3788
865	24303	3760
866	24330	3732
867	24357	3704
868	24386	3676
869	24414	3648
870	24442	3620
871	24470	3592
872	24499	3564
873	24528	3536
874	24557	3508
875	24585	3480
876	24614	3452
877	24643	3424
878	24671	3396
879	24700	3368
880	24729	3340
881	24743	3310
882	24771	3282
883	24800	3254
884	24828	3226
885	24856	3198
886	24884	3170
887	24912	3142
888	24941	3114
889	24968	3085
890	24996	3057
891	25023	3029
892	25050	3001
893	25077	2973
894	25107	2945
895	25136	2917
896	25165	2889
897	25194	2861
898	25222	2833
899	25249	2805
900	25278	2777
901	25305	2749
902	25334	2721
903	25362	2693
904	25391	2665
905	25419	2637
906	25446	2609
