iter	Accuracy	Logloss
65	0.780752242	0.454287993
66	0.7806183911	0.4536657955
67	0.7808860929	0.4531123534
68	0.7808860929	0.4525777015
69	0.7812876456	0.4521328172
70	0.7815553473	0.4517862623
71	0.7815553473	0.4513073598
72	0.7815553473	0.4508084581
73	0.7820907509	0.4503014194
74	0.7827600054	0.4496738626
75	0.783161558	0.4491713336
76	0.7836969616	0.4486787061
77	0.7842323651	0.4480780764
78	0.7842323651	0.4474002275
79	0.7840985143	0.4469481866
80	0.7849016196	0.4464057899
81	0.7854370232	0.4457180394
82	0.7854370232	0.4450665294
83	0.785570874	0.4445921691
84	0.7859724267	0.4438208599
85	0.7863739794	0.4434381954
86	0.7874447865	0.442761719
87	0.7877124883	0.4421581155
88	0.7871770847	0.4417329037
89	0.7877124883	0.4408498015
90	0.7879801901	0.4402410022
91	0.7885155936	0.4398747422
92	0.7886494445	0.4392910726
93	0.7890509972	0.438491954
94	0.7894525499	0.4380471024
95	0.7894525499	0.4375585271
96	0.7902556552	0.4371048523
97	0.7903895061	0.4367134299
98	0.7907910588	0.4361721769
99	0.7913264623	0.4357828787
100	0.7918618659	0.4354218146
101	0.7922634186	0.4349343503
102	0.7922634186	0.4347506321
103	0.7921295677	0.434323721
104	0.7930665239	0.434030432
105	0.7932003748	0.433652996
106	0.7942711819	0.4331911189
107	0.7946727346	0.4326779694
108	0.7952081381	0.4320617847
109	0.7952081381	0.4317084001
110	0.7956096908	0.4312769793
111	0.7961450944	0.4306222668
112	0.7966804979	0.4301644418
113	0.7970820506	0.4297298186
114	0.7972159015	0.4293013062
115	0.7968143488	0.4288176326
116	0.7969481997	0.4285315329
117	0.7981528577	0.4280326965
118	0.7981528577	0.4277865298
119	0.7990898139	0.4273807616
120	0.7994913666	0.4269028721
121	0.7994913666	0.4266396146
122	0.8001606211	0.4264085453
123	0.8000267702	0.4259901306
124	0.8004283228	0.4255552459
125	0.8012314282	0.4250701671
126	0.8017668317	0.4246525367
127	0.8021683844	0.4243782992
128	0.8024360862	0.4237769179
129	0.802703788	0.423479446
130	0.8028376389	0.4229746949
131	0.8025699371	0.4224203051
132	0.8035068933	0.4220067595
133	0.8040422969	0.4215907956
134	0.8044438496	0.4212034581
135	0.8048454022	0.4208149441
136	0.8048454022	0.4204125745
137	0.8053808058	0.4200800713
138	0.8057823585	0.4197332224
139	0.8057823585	0.4194769907
140	0.8061839111	0.4190674645
141	0.8064516129	0.418739373
142	0.8067193147	0.4183441272
143	0.8071208674	0.417942934
144	0.8077901218	0.4175381789
145	0.8081916745	0.4171013662
146	0.8083255254	0.4167041271
147	0.8085932271	0.4162724775
148	0.8085932271	0.4160687928
149	0.8091286307	0.4157526616
150	0.8092624816	0.4153585923
151	0.8093963325	0.4150599767
152	0.809931736	0.4146497316
153	0.8101994378	0.4144239235
154	0.8106009905	0.4139332894
155	0.8107348414	0.4136146093
156	0.8106009905	0.4131768489
157	0.8118056485	0.4128555872
158	0.8119394994	0.4122106782
159	0.8118056485	0.4117774274
160	0.8122072012	0.4114866546
161	0.8127426047	0.4110826184
162	0.8128764556	0.4107917149
163	0.8127426047	0.410547509
164	0.8126087538	0.4100753382
165	0.8134118592	0.4097909704
166	0.8139472627	0.409333603
167	0.814884219	0.4090249224
168	0.8158211752	0.408686962
169	0.8154196225	0.4081810344
170	0.816088877	0.407921731
171	0.8162227279	0.4076338666
172	0.8164904297	0.4073548254
173	0.8167581314	0.4069899052
174	0.817293535	0.4068749098
175	0.8174273859	0.406552537
176	0.8179627895	0.406177944
177	0.8176950877	0.4059353393
178	0.8175612368	0.4054730047
179	0.818498193	0.4050477275
180	0.8187658948	0.4047569221
181	0.8194351492	0.4044915078
182	0.8193012984	0.4042304724
183	0.8198367019	0.4039963314
184	0.820907509	0.4034150473
185	0.8207736581	0.4032056112
186	0.820907509	0.4029789862
187	0.8226475706	0.4023821798
188	0.8234506759	0.402087453
189	0.8239860795	0.4017776614
190	0.8251907375	0.4011973576
191	0.8250568866	0.4008729588
192	0.8255922902	0.4007262326
193	0.8254584393	0.4004558838
194	0.8257261411	0.4002196841
195	0.8254584393	0.3999421134
196	0.8254584393	0.39976614
197	0.825859992	0.3995171303
198	0.8267969482	0.3990446001
199	0.8267969482	0.3987908846
200	0.8269307991	0.3983853125
201	0.8269307991	0.3981175454
202	0.82706465	0.3978406937
203	0.8274662027	0.3975831549
204	0.8271985009	0.3973392757
205	0.8273323518	0.3970708223
206	0.8274662027	0.3967097255
207	0.828269308	0.3964544415
208	0.8284031589	0.3961937656
209	0.8292062642	0.3957478683
210	0.8297416678	0.3953181795
211	0.8298755187	0.3950327333
212	0.8308124749	0.3945287011
213	0.8310801767	0.3941054499
214	0.8310801767	0.3936990935
215	0.8317494311	0.3933758711
216	0.8316155802	0.3928907596
217	0.8322848347	0.3925677006
218	0.8328202383	0.3921569326
219	0.83308794	0.3918980867
220	0.8328202383	0.391668684
221	0.8324186856	0.3911959904
222	0.8324186856	0.390786987
223	0.83308794	0.3904940248
224	0.8333556418	0.3902666809
225	0.8333556418	0.3900819497
226	0.8341587472	0.389794118
227	0.834292598	0.3895401085
228	0.8341587472	0.3892625378
229	0.8345602998	0.3890181357
230	0.8352295543	0.388804092
231	0.8349618525	0.3885477623
232	0.8354972561	0.3883809062
233	0.8361665105	0.3879709878
234	0.8363003614	0.3877079264
235	0.8364342123	0.3875073134
236	0.8363003614	0.387186836
237	0.8371034667	0.3869062262
238	0.8369696158	0.3867563956
239	0.8367019141	0.386537352
240	0.8376388703	0.3861121401
241	0.839245081	0.3856582366
242	0.839245081	0.3853249492
243	0.8396466337	0.3851546291
244	0.839245081	0.3849316968
245	0.8396466337	0.384676707
246	0.8400481863	0.3844190375
247	0.8401820372	0.3840998998
248	0.8397804845	0.3838279172
249	0.840449739	0.3835968479
250	0.8403158881	0.3833846995
251	0.8403158881	0.3831730739
252	0.840449739	0.3829566773
253	0.8409851426	0.3827555088
254	0.8409851426	0.3824898331
255	0.8405835899	0.3822099749
256	0.8408512917	0.38191515
257	0.8405835899	0.3815809476
258	0.8408512917	0.3813006647
